Customers,Monthly Average for 2004,Monthly Average for 2005,Monthly Average for 2006
A1,1179898.9200000002,381809.5725,288245.01999999996
A2,270446.26666666666,435586.4366666667,319161.55
A3,322757.13,312337.7625,200850.36
A4,286231.66000000003,91264.86333333334,251730.8725
A5,563193.0549999999,230722.38199999998,374242.97
A6,835251.405,350354.20999999996,296024.07
A7,1377007.0699999998,335780.6825,381878.73666666663
A8,643457.5375,540089.92,308537.868
A9,600497.03,368448.1433333333,338775.81749999995
A10,446095.265,516256.72,389153.265
A11,958556.3899999999,598443.08,576726.6900000001
A12,584770.225,418643.41,623618.192
A13,779004.2566666667,607416.1483333333,496759.2700000001
A14,692565.3250000001,621072.4600000001,335128.21499999997
A15,1051502.61,615423.49,695785.3574999999
A16,561105.58,452954.85250000004,382273.92600000004
A17,712724.0100000001,261045.0166666667,521297.18999999994
A18,780897.805,334765.75,1073248.795
A19,395764.14499999996,327260.11833333335,423400.40249999997
A20,594310.2833333333,410433.07249999995,591432.0266666667
A21,1049888.1066666667,501654.6425,447835.696
A22,863943.6975,300655.739,504160.69399999996
A23,722855.6366666667,424512.01000000007,473926.2175
A24,303602.495,441314.34500000003,384474.65833333327
A25,624654.6633333334,421188.85166666674,646211.886
A26,372606.95999999996,437142.1766666667,666084.26
A27,614274.3466666667,375159.7242857143,397914.3016666667
A28,482554.245,388512.036,562769.1083333334
A29,688396.97,632527.9375,686859.6000000001
A30,326259.0566666667,529027.36,414493.06833333336
A31,407599.13,519203.0,381949.60250000004
A32,344312.67,391621.01,303461.73
A33,226634.19999999998,357621.32,747596.045
A34,81344.52,336991.31,219565.26666666663
A35,31811.8,434003.00333333336,318787.3283333333
A36,398715.8000000001,441952.115,371064.69
A37,425638.3375,248773.57571428575,499682.5283333333
A38,487827.7524999999,804957.8750000001,388877.33625
A39,671251.5800000001,467774.0083333333,430066.86166666663
A40,858972.2433333332,657016.628,377222.3979999999
A41,584317.7233333334,448844.85833333334,310364.5075
A42,761478.6775,464137.464,721893.8600000001
A43,1906497.47,422217.89999999997,515283.47799999994
A44,716461.1666666666,431822.5614285713,476676.28333333327
A45,511589.478,509435.75499999995,461984.9775
A46,624077.0666666668,649876.2219999998,428994.935
A47,438945.1566666667,858942.066,432800.8
A48,478962.2075,553933.0033333333,822225.1875
A49,424097.874,495914.04166666674,424883.13000000006
A50,361343.79,461056.825,642986.4
A51,423013.17333333334,351503.825,531261.4433333334
A52,673659.66,459636.77499999997,539197.8099999999
A53,421894.94,321970.45999999996,315471.2275
A54,490081.0,363583.622,465098.2342857143
A55,167540.59,684536.2999999999,479064.1499999999
A56,36537.9,547859.5866666667,549311.4783333332
A57,546485.6719999999,519113.86,495240.4200000001
A58,569886.67,283760.95,482998.0533333333
A59,592655.4500000001,307605.8275,475482.35750000004
A60,1445360.905,536732.63,405339.10375
A61,839384.9833333334,492514.12000000005,534875.3442857142
A62,581371.4166666666,219212.68399999998,336817.138
A63,394427.80000000005,0.0,211117.12
A64,0.0,0.0,161614.545
A65,468922.6,98178.42,0.0
A66,477039.78,0.0,113094.58
A67,67845.6,356872.73,0.0
A68,105098.26,0.0,319836.49
A69,0.0,113339.36,247628.45
A70,0.0,134776.83000000002,0.0
A71,56286.33,116422.06,0.0
A72,327006.94,0.0,0.0
A73,0.0,47380.56,0.0
A74,0.0,216681.9,0.0
A75,0.0,217827.88,0.0
A76,0.0,30066.44,0.0
A77,0.0,0.0,3159.62
A78,0.0,0.0,55344.81
A79,0.0,0.0,193230.31
A80,0.0,0.0,481205.64
A81,0.0,0.0,207780.32
A82,0.0,0.0,342200.74
A83,0.0,0.0,132844.13
A84,0.0,0.0,464121.13
A85,0.0,0.0,270527.39
A86,0.0,0.0,295851.47
A87,0.0,0.0,462283.02
A88,0.0,0.0,146821.3
A89,0.0,0.0,497237.97
A90,0.0,0.0,109931.32
A91,0.0,0.0,247781.0
A92,0.0,0.0,459105.69
A93,342326.14,0.0,0.0
A94,153465.89,0.0,0.0
A95,369405.96,0.0,0.0
A96,310992.3,0.0,0.0
A97,121874.9,0.0,0.0
A98,337815.57,0.0,0.0
A99,25682.73,0.0,0.0
A100,69551.19,0.0,0.0
