Mon,Interest_Earned_2004,Interest_Earned_2005,Interest_Earned_2006
Jan,0.0,595999.8045999997,554879.1881899999
Feb,167633.56996999995,0.0,252427.1284599997
Mar,275194.1660000001,521912.4060800002,0.0
Apr,81166.90896999995,194656.11043000003,0.0
May,440408.33382999996,0.0,426549.3161899999
Jun,127615.7934,0.0,41074.89472000002
Jul,113829.20964,23657.461369999994,0.0
Aug,76948.34277000002,0.0,76373.66021000005
Sep,1176.586840000026,0.0,12712.688819999988
Oct,43198.36636000001,0.0,0.0
Nov,42488.38256000002,0.0,62375.10994000001
Dec,82683.72758000002,0.0,0.0
